distance,hour,day,base_price,is_peak_hour,is_weekend,surge_level,cab_type,provider,trip_type,final_price
22.38,7,1,5.0,1,0,2,Economy,cab1,long,31.18
1.44,2,1,5.0,0,0,1,BlackSUV,cab2,short,12.54
21.62,22,4,5.0,0,0,1,BlackSUV,cab1,long,51.97
22.88,5,5,5.0,0,1,1,WaitAndSave,cab1,long,21.57
3.52,12,0,5.0,0,0,1,Quickest,cab2,medium,10.55
22.03,17,0,5.0,1,0,3,WaitAndSave,cab1,long,28.26
17.53,22,0,5.0,0,0,1,BlackSUV,cab2,long,41.86
25.73,3,3,5.0,0,0,1,WaitAndSave,cab1,long,24.19
11.42,6,5,5.0,0,1,1,WaitAndSave,cab1,long,13.22
16.26,7,1,5.0,1,0,2,Economy,cab1,long,26.4
25.36,1,1,5.0,0,0,1,Quickest,cab2,long,39.16
2.45,18,5,5.0,1,1,2,Minivan,cab2,short,17.91
8.31,7,5,5.0,1,1,3,Minivan,cab1,medium,26.83
6.97,4,4,5.0,0,0,1,Minivan,cab2,medium,18.46
19.01,21,3,5.0,0,0,1,Economy,cab1,long,22.47
16.11,17,6,5.0,1,1,3,BlackSUV,cab2,long,62.51
3.79,13,1,5.0,0,0,1,WaitAndSave,cab2,medium,6.9
15.48,3,6,5.0,0,1,1,WaitAndSave,cab1,long,15.71
5.01,5,4,5.0,0,0,1,BlackSUV,cab1,medium,19.53
14.91,3,2,5.0,0,0,1,Economy,cab2,long,19.87
2.21,18,0,5.0,1,0,2,WaitAndSave,cab1,short,8.39
19.96,17,1,5.0,1,0,2,Quickest,cab1,long,51.72
21.53,12,5,5.0,0,1,1,BlackSUV,cab1,long,49.73
4.07,7,0,5.0,1,0,2,BlackSUV,cab2,medium,25.5
7.25,1,6,5.0,0,1,1,Economy,cab1,medium,12.13
6.82,4,5,5.0,0,1,1,WaitAndSave,cab2,medium,9.4
23.65,13,1,5.0,0,0,1,Minivan,cab1,long,45.18
12.63,23,0,5.0,0,0,1,WaitAndSave,cab2,long,14.21
12.38,10,6,5.0,1,1,3,Economy,cab1,long,22.05
8.72,7,6,5.0,1,1,3,Minivan,cab1,medium,29.33
29.09,7,1,5.0,1,0,2,Economy,cab1,long,46.55
0.56,12,2,5.0,0,0,1,Quickest,cab2,short,7.44
21.05,23,6,5.0,0,1,1,WaitAndSave,cab2,long,20.62
9.25,1,4,5.0,0,0,1,Quickest,cab1,medium,17.18
1.98,15,4,5.0,0,0,1,WaitAndSave,cab1,short,5.4
25.61,2,4,5.0,0,0,1,Economy,cab1,long,30.46
28.28,18,1,5.0,1,0,3,Minivan,cab1,long,61.47
28.07,6,5,5.0,0,1,1,BlackSUV,cab2,long,63.76
20.31,9,3,5.0,1,0,2,Minivan,cab1,long,62.61
2.66,6,4,5.0,0,0,1,BlackSUV,cab1,short,15.69
11.4,5,3,5.0,0,0,1,Economy,cab1,long,15.67
20.2,17,2,5.0,1,0,3,BlackSUV,cab1,long,56.67
8.53,19,1,5.0,1,0,3,Economy,cab1,medium,16.08
27.21,1,0,5.0,0,0,1,Minivan,cab2,long,51.18
